example_id                                                              | status | run_time        |
./spec/jobs/webhook_processor_job_spec.rb[1:3:3:1]                      | passed | 0.09904 seconds |
./spec/jobs/webhook_processor_job_spec.rb[1:3:4:1]                      | passed | 0.09121 seconds |
./spec/jobs/webhook_processor_job_spec.rb[1:3:5:1]                      | passed | 0.01945 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:1]                        | passed | 0.00988 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:2]                        | passed | 0.05532 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:3]                        | passed | 0.05192 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:4]                        | passed | 0.01137 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:5]                        | passed | 0.05246 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:6]                        | passed | 0.05203 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:7]                        | passed | 0.05189 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:8]                        | passed | 0.00919 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:9:1]                      | passed | 0.69715 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:9:2]                      | passed | 0.71084 seconds |
./spec/mailers/briefing_mailer_spec.rb[1:1]                             | passed | 0.43391 seconds |
./spec/mailers/export_mailer_spec.rb[1:1:1]                             | passed | 0.31637 seconds |
./spec/mailers/export_mailer_spec.rb[1:1:2]                             | passed | 0.32799 seconds |
./spec/mailers/export_mailer_spec.rb[1:2:1]                             | passed | 0.32742 seconds |
./spec/mailers/export_mailer_spec.rb[1:2:2]                             | passed | 0.31538 seconds |
./spec/mailers/export_mailer_spec.rb[1:3:1]                             | passed | 0.31906 seconds |
./spec/mailers/integration_mailer_spec.rb[1:1:1]                        | passed | 0.34635 seconds |
./spec/mailers/integration_mailer_spec.rb[1:1:2]                        | passed | 0.3158 seconds  |
./spec/mailers/integration_mailer_spec.rb[1:1:3]                        | passed | 0.33209 seconds |
./spec/mailers/integration_mailer_spec.rb[1:1:4]                        | passed | 0.33275 seconds |
./spec/mailers/integration_mailer_spec.rb[1:2:1]                        | passed | 0.37688 seconds |
./spec/mailers/integration_mailer_spec.rb[1:2:2]                        | passed | 0.34625 seconds |
./spec/mailers/reminder_mailer_spec.rb[1:1:1]                           | passed | 0 seconds       |
./spec/mailers/reminder_mailer_spec.rb[1:1:2]                           | passed | 0.93937 seconds |
./spec/mailers/reminder_mailer_spec.rb[1:1:3]                           | passed | 0.92688 seconds |
./spec/mailers/reminder_mailer_spec.rb[1:2:1]                           | passed | 0.93898 seconds |
./spec/mailers/reminder_mailer_spec.rb[1:3:1]                           | passed | 0.87716 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1]                               | passed | 0.32302 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2]                               | passed | 0.31375 seconds |
